Symbol,Headquarters Location,Date first added,Founded
KMI,"Houston, Texas",5/25/2012,
KLAC,"Milpitas, California",,1975/1977 (1997)
KSS,"Menomonee Falls, Wisconsin",,1962
KHC,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/2015,
KR,"Cincinnati, Ohio",,1883
LB,"Columbus, Ohio",9/30/1983,
LHX,"Melbourne, Florida",,
LH,"Burlington, North Carolina",11/1/2004,
LRCX,"Fremont, California",6/29/2012,
LW,"Eagle, Idaho",12/3/2018,
LEG,"Carthage, Missouri",,1883
LEN,"Miami, Florida",10/4/2005,
LLY,"Indianapolis, Indiana",12/31/1970,1876
LNC,"Radnor, Pennsylvania",6/30/1976,
LIN,"Guildford, Surrey, United Kingdom",7/1/1992,
LKQ,"Chicago, Illinois",5/23/2016,
LMT,"Bethesda, Maryland",7/31/1984,
L,"New York, New York",,
LOW,"Mooresville, North Carolina",2/29/1984,1904/1946/1959
LYB,"Rotterdam, Netherlands",9/5/2012,
MTB,"Buffalo, New York",,1856
MAC,"Santa Monica, California",5/9/2013,
M,"Cincinnati, Ohio",,1929
MRO,"Houston, Texas",5/1/1991,
MPC,"Findlay, Ohio",7/1/2011,
MKTX,"New York, New York",7/1/2019,
MAR,"Bethesda, Maryland",,1927
MMC,"New York, New York",8/31/1987,
MLM,"Raleigh, North Carolina",7/2/2014,
MAS,"Taylor, Michigan",6/30/1981,
MA,"Harrison, New York",7/18/2008,
MKC,"Sparks, Maryland",,1889
MXIM,"San Jose, California",12/3/2018,1983
MCD,"Chicago, Illinois",6/30/1970,1940
MCK,"San Francisco, California",,1833
MDT,"Dublin, Ireland",10/31/1986,
MRK,"Whitehouse Station, New Jersey",,1891
MET,"New York, New York",,1868
MTD,"Columbus, Ohio",9/6/2016,
MGM,"Paradise, Nevada",7/26/2017,
MCHP,"Chandler, Arizona",9/7/2007,
MU,"Boise, Idaho",9/27/1994,
MSFT,"Redmond, Washington",6/1/1994,1975
MAA,"Memphis, Tennessee",12/2/2016,
MHK,"Amsterdam, New York",12/23/2013,
TAP,"Denver, Colorado",6/30/1976,
MDLZ,"Deerfield, Illinois",10/2/2012,
MNST,"Corona, California",6/28/2012,
MCO,"New York, New York",,1909
MS,"New York, New York",,1935
MOS,"Plymouth, Minnesota",9/26/2011,
MSI,"Schaumburg, Illinois",,1928 (2011)
MSCI,"New York, New York",4/4/2018,
MYL,"Amsterdam, Netherlands",4/23/2004,
NDAQ,"New York, New York",10/22/2008,
NOV,"Houston, Texas",3/14/2005,
NKTR,"San Francisco, California",3/19/2018,
NTAP,"Sunnyvale, California",6/25/1999,
NFLX,"Los Gatos, California",12/20/2010,1997
NWL,"Hoboken, New Jersey",4/30/1989,
NEM,"Denver, Colorado",6/30/1969,1921
NWSA,"New York, New York",8/1/2013,
NWS,"New York, New York",9/18/2015,
NEE,"Juno Beach, Florida",6/30/1976,
NLSN,"New York, New York",7/9/2013,
NKE,"Washington County, Oregon",11/30/1988,
NI,"Merrillville, Indiana",,1912
NBL,"Houston, Texas",10/8/2007,
JWN,"Seattle, Washington",8/31/1986,
